t1,key1,t2,key2,reduce,time
10000,14,65000,16,12,30117
10000,14,65000,16,13,32109
10000,14,65000,16,14,30118
10000,14,65000,16,15,30107
10000,14,65000,16,16,32106
10000,14,65000,16,17,32109
10000,14,65000,16,18,32104
10000,14,65000,16,19,32104
10000,14,65000,16,20,34299
10000,14,65000,16,21,34108
10000,14,65000,16,22,34105
10000,14,65000,16,23,34115
10000,14,65000,16,24,34122
10000,14,65000,16,25,36115
10000,14,65000,16,26,38112
10000,14,65000,16,27,36107
10000,14,65000,16,28,36114
10000,14,65000,16,29,40109
10000,14,65000,16,30,40106
10000,14,65000,16,31,40117
10000,14,65000,16,32,40111
10000,14,65000,16,33,40106
10000,14,65000,16,34,40120
10000,14,65000,16,35,40107
10000,14,65000,16,36,40115
10000,14,65000,16,37,40097
10000,14,65000,16,38,44101
10000,14,65000,16,39,44111
10000,14,65000,16,40,44178
15000,4,40000,22,1,36119
15000,4,40000,22,2,28108
15000,4,40000,22,3,28112
15000,4,40000,22,4,26106
15000,4,40000,22,5,26123
15000,4,40000,22,6,28170
15000,4,40000,22,7,26107
15000,4,40000,22,8,26110
15000,4,40000,22,9,26101
15000,4,40000,22,10,26105
15000,4,40000,22,11,28114
15000,4,40000,22,12,26118
15000,4,40000,22,13,28114
15000,4,40000,22,14,28102
15000,4,40000,22,15,30104
15000,4,40000,22,16,30109
15000,4,40000,22,17,30104
15000,4,40000,22,18,30115
15000,4,40000,22,19,30112
15000,4,40000,22,20,30098
15000,4,40000,22,21,32179
15000,4,40000,22,22,32107
15000,4,40000,22,23,32103
15000,4,40000,22,24,34102
15000,4,40000,22,25,34115
15000,4,40000,22,26,36108
15000,4,40000,22,27,36091
15000,4,40000,22,28,36110
15000,4,40000,22,29,38108
15000,4,40000,22,30,36121
15000,4,40000,22,31,36115
15000,4,40000,22,32,38130
15000,4,40000,22,33,36107
15000,4,40000,22,34,38098
15000,4,40000,22,35,40106
15000,4,40000,22,36,40114
15000,4,40000,22,37,40114
15000,4,40000,22,38,42119
15000,4,40000,22,39,40131
15000,4,40000,22,40,42127
20000,16,20000,16,1,34105
20000,16,20000,16,2,26110
20000,16,20000,16,3,24221
20000,16,20000,16,4,26119
20000,16,20000,16,5,24115
20000,16,20000,16,6,24120
20000,16,20000,16,7,26108
20000,16,20000,16,8,26095
20000,16,20000,16,9,26110
20000,16,20000,16,10,26120
20000,16,20000,16,11,28109
20000,16,20000,16,12,26115
20000,16,20000,16,13,30109
20000,16,20000,16,14,28098
20000,16,20000,16,15,30116
20000,16,20000,16,16,30118
20000,16,20000,16,17,30114
20000,16,20000,16,18,30118
20000,16,20000,16,19,30358
20000,16,20000,16,20,30103
20000,16,20000,16,21,32102
20000,16,20000,16,22,32112
20000,16,20000,16,23,36169
20000,16,20000,16,24,34101
20000,16,20000,16,25,36104
20000,16,20000,16,26,34112
20000,16,20000,16,27,36106
20000,16,20000,16,28,34116
20000,16,20000,16,29,36109
20000,16,20000,16,30,40171
20000,16,20000,16,31,38107
20000,16,20000,16,32,38117
20000,16,20000,16,33,40124
20000,16,20000,16,34,40117
20000,16,20000,16,35,40111
20000,16,20000,16,36,40117
20000,16,20000,16,37,40172
